condition_id,category,base_question,bert_multilingual_similarity,n_responses,prompt_language,model,role_assignment,explicitness
1,인성,어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.7629009664058686,5,korean,gpt-3.5-turbo,with_role,high
2,인성,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.7649099946022033,5,korean,gpt-3.5-turbo,with_role,high
3,인성,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.7386740207672119,5,korean,gpt-3.5-turbo,with_role,high
4,인성,타인과의 갈등 상황에서 화해를 이루는 방법은 무엇인가?,0.7698414862155915,5,korean,gpt-3.5-turbo,with_role,high
5,인성,자신의 실수를 인정하고 책임지는 것의 중요성은 무엇인가?,0.7612037003040314,5,korean,gpt-3.5-turbo,with_role,high
6,인성,타인에 대한 배려와 공감이 중요한 이유는 무엇인가?,0.7457426011562347,5,korean,gpt-3.5-turbo,with_role,high
7,인성,도덕적 용기를 발휘해야 하는 상황과 그 방법은 무엇인가?,0.7639053106307984,5,korean,gpt-3.5-turbo,with_role,high
8,창의성,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.7786740183830261,5,korean,gpt-3.5-turbo,with_role,high
9,창의성,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.786482709646225,5,korean,gpt-3.5-turbo,with_role,high
10,창의성,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.76014723777771,5,korean,gpt-3.5-turbo,with_role,high
11,창의성,기존의 관습을 뛰어넘는 발상을 하는 방법은 무엇인가?,0.7673452377319336,5,korean,gpt-3.5-turbo,with_role,high
12,창의성,다양한 관점에서 문제를 바라보는 능력을 기르는 방법은 무엇인가?,0.7627421140670776,5,korean,gpt-3.5-turbo,with_role,high
13,창의성,창의성을 저해하는 요소들을 극복하는 방법은 무엇인가?,0.7783914387226105,5,korean,gpt-3.5-turbo,with_role,high
14,창의성,협업을 통해 창의적 아이디어를 발전시키는 방법은 무엇인가?,0.7786600828170777,5,korean,gpt-3.5-turbo,with_role,high
15,논리적추론,복잡한 문제를 체계적으로 분석하는 방법은 무엇인가?,0.7574059963226318,5,korean,gpt-3.5-turbo,with_role,high
16,논리적추론,논리적 결론에 도달하기 위해 필요한 사고 과정은 무엇인가?,0.7732773661613465,5,korean,gpt-3.5-turbo,with_role,high
17,논리적추론,증거와 논리를 바탕으로 타당한 주장을 펼치는 방법은 무엇인가?,0.7608195602893829,5,korean,gpt-3.5-turbo,with_role,high
18,논리적추론,다양한 정보를 종합하여 올바른 판단을 내리는 방법은 무엇인가?,0.8094137668609619,5,korean,gpt-3.5-turbo,with_role,high
19,논리적추론,논리적 오류를 피하고 합리적 사고를 하는 방법은 무엇인가?,0.72987180352211,5,korean,gpt-3.5-turbo,with_role,high
20,논리적추론,가설을 설정하고 검증하는 체계적인 방법은 무엇인가?,0.7814820826053619,5,korean,gpt-3.5-turbo,with_role,high
21,논리적추론,비판적 사고를 통해 정보의 신뢰성을 평가하는 방법은 무엇인가?,0.7698527753353119,5,korean,gpt-3.5-turbo,with_role,high
22,인성,어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.7873376429080963,5,korean,gpt-3.5-turbo,with_role,low
23,인성,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.7599214971065521,5,korean,gpt-3.5-turbo,with_role,low
24,인성,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.7943262994289398,5,korean,gpt-3.5-turbo,with_role,low
25,인성,타인과의 갈등 상황에서 화해를 이루는 방법은 무엇인가?,0.779471629858017,5,korean,gpt-3.5-turbo,with_role,low
26,인성,자신의 실수를 인정하고 책임지는 것의 중요성은 무엇인가?,0.8416832566261292,5,korean,gpt-3.5-turbo,with_role,low
27,인성,타인에 대한 배려와 공감이 중요한 이유는 무엇인가?,0.7828936755657196,5,korean,gpt-3.5-turbo,with_role,low
28,인성,도덕적 용기를 발휘해야 하는 상황과 그 방법은 무엇인가?,0.786656504869461,5,korean,gpt-3.5-turbo,with_role,low
29,창의성,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.8347003757953644,5,korean,gpt-3.5-turbo,with_role,low
30,창의성,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.7622458279132843,5,korean,gpt-3.5-turbo,with_role,low
31,창의성,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.7996537506580352,5,korean,gpt-3.5-turbo,with_role,low
32,창의성,기존의 관습을 뛰어넘는 발상을 하는 방법은 무엇인가?,0.7693009436130523,5,korean,gpt-3.5-turbo,with_role,low
33,창의성,다양한 관점에서 문제를 바라보는 능력을 기르는 방법은 무엇인가?,0.7878042757511139,5,korean,gpt-3.5-turbo,with_role,low
34,창의성,창의성을 저해하는 요소들을 극복하는 방법은 무엇인가?,0.8037628829479218,5,korean,gpt-3.5-turbo,with_role,low
35,창의성,협업을 통해 창의적 아이디어를 발전시키는 방법은 무엇인가?,0.7871183574199676,5,korean,gpt-3.5-turbo,with_role,low
36,논리적추론,복잡한 문제를 체계적으로 분석하는 방법은 무엇인가?,0.7803895652294159,5,korean,gpt-3.5-turbo,with_role,low
37,논리적추론,논리적 결론에 도달하기 위해 필요한 사고 과정은 무엇인가?,0.795983761548996,5,korean,gpt-3.5-turbo,with_role,low
38,논리적추론,증거와 논리를 바탕으로 타당한 주장을 펼치는 방법은 무엇인가?,0.7837448835372924,5,korean,gpt-3.5-turbo,with_role,low
39,논리적추론,다양한 정보를 종합하여 올바른 판단을 내리는 방법은 무엇인가?,0.7984756588935852,5,korean,gpt-3.5-turbo,with_role,low
40,논리적추론,논리적 오류를 피하고 합리적 사고를 하는 방법은 무엇인가?,0.776658034324646,5,korean,gpt-3.5-turbo,with_role,low
41,논리적추론,가설을 설정하고 검증하는 체계적인 방법은 무엇인가?,0.8305155277252197,5,korean,gpt-3.5-turbo,with_role,low
42,논리적추론,비판적 사고를 통해 정보의 신뢰성을 평가하는 방법은 무엇인가?,0.8000477254390717,5,korean,gpt-3.5-turbo,with_role,low
43,인성,어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.7832451820373535,5,korean,gpt-3.5-turbo,no_role,high
44,인성,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.770903617143631,5,korean,gpt-3.5-turbo,no_role,high
45,인성,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.737450510263443,5,korean,gpt-3.5-turbo,no_role,high
46,인성,타인과의 갈등 상황에서 화해를 이루는 방법은 무엇인가?,0.7999498009681701,5,korean,gpt-3.5-turbo,no_role,high
47,인성,자신의 실수를 인정하고 책임지는 것의 중요성은 무엇인가?,0.7717204809188842,5,korean,gpt-3.5-turbo,no_role,high
48,인성,타인에 대한 배려와 공감이 중요한 이유는 무엇인가?,0.7613421678543091,5,korean,gpt-3.5-turbo,no_role,high
49,인성,도덕적 용기를 발휘해야 하는 상황과 그 방법은 무엇인가?,0.7620720744132996,5,korean,gpt-3.5-turbo,no_role,high
50,창의성,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.7696876406669617,5,korean,gpt-3.5-turbo,no_role,high
51,창의성,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.7333985388278961,5,korean,gpt-3.5-turbo,no_role,high
52,창의성,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.7517729878425599,5,korean,gpt-3.5-turbo,no_role,high
53,창의성,기존의 관습을 뛰어넘는 발상을 하는 방법은 무엇인가?,0.7723751962184906,5,korean,gpt-3.5-turbo,no_role,high
54,창의성,다양한 관점에서 문제를 바라보는 능력을 기르는 방법은 무엇인가?,0.7498326122760772,5,korean,gpt-3.5-turbo,no_role,high
55,창의성,창의성을 저해하는 요소들을 극복하는 방법은 무엇인가?,0.7396502315998077,5,korean,gpt-3.5-turbo,no_role,high
